DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S750mag,S920mag,Spanmag
3655377057091634304,   3.6978,   4.0472,   4.1647,   3.8001,   3.4827,   3.6985,   4.0467,   4.1684,   3.9559
1908095850396090880,   4.8605,   5.3740,   5.6428,   4.9716,   4.4721,   4.8634,   5.3726,   5.7175,   5.2295
2135550755683407232,   6.1806,   5.9282,   5.9001,   6.1394,   6.8625,   6.1806,   5.9288,   5.8924,   5.9681
4345775217221821312,   5.4441,   5.2042,   5.1780,   5.4066,   6.0938,   5.4446,   5.2049,   5.1675,   5.2429
1651137131123978112,  12.5027,  12.7594,  12.8839,  12.6065,  12.4404,  12.5024,  12.7588,  12.8894,  12.6912
1633143932573832448,  12.4613,  12.6296,  12.7282,  12.5451,  12.4760,  12.4609,  12.6303,  12.7404,  12.5845
1634280312200704768,  13.4933,  13.5893,  13.6633,  13.5623,  13.6134,  13.4933,  13.5890,  13.6787,  13.5594
1633585107317144960,  11.7804,  11.8903,  11.9718,  11.8518,  11.8993,  11.7815,  11.8914,  11.9736,  11.8530
2158745262705810304,  11.9873,  12.2988,  12.4288,  12.0940,  11.8397,  11.9883,  12.2992,  12.4289,  12.2173
2161093682102883712,  12.2764,  12.5313,  12.6439,  12.3782,  12.2087,  12.2764,  12.5311,  12.6517,  12.4650
2260019315938461952,  12.0657,  12.2239,  12.3189,  12.1458,  12.0804,  12.0653,  12.2244,  12.3251,  12.1823
2160839724980689408,  11.7123,  11.8942,  11.9936,  11.8023,  11.7483,  11.7103,  11.8943,  11.9912,  11.8424
1144974578159253632,  11.9280,  12.5651,  12.8958,  12.0336,  11.3985,  11.9298,  12.5637,  12.9912,  12.3866
4376174445988280576,   9.9071,   9.6947,   9.6634,   9.8668,  10.3088,   9.9065,   9.6951,   9.6571,   9.7376
52624073910834176,   9.1888,   9.0245,   9.0153,   9.1681,   9.5471,   9.1876,   9.0251,   9.0148,   9.0561
1267333012397454592,   9.6794,   9.5090,   9.4870,   9.6543,  10.0356,   9.6787,   9.5092,   9.4868,   9.5411
731253779217024640,  10.2212,   9.9886,   9.9554,  10.1759,  10.6847,  10.2207,   9.9895,   9.9508,  10.0345
1032197606073957888,   9.6706,   9.4895,   9.4778,   9.6445,  10.0625,   9.6698,   9.4899,   9.4787,   9.5236
1435896975388228224,   9.6697,  10.0106,  10.1476,   9.7775,   9.4828,   9.6705,  10.0105,  10.1489,   9.9211
1776289248313154688,   9.4352,   9.2627,   9.2469,   9.4102,   9.7976,   9.4350,   9.2628,   9.2443,   9.2957
1135587497636732672,   9.5456,  10.1695,  10.4909,   9.6444,   9.0154,   9.5513,  10.1695,  10.5883,   9.9911
5057499161282786432,  16.4630,  16.2638,  16.2508,  16.4382,  16.9642,  16.4581,  16.2621,  16.2280,  16.2999
1724851173788449536,   4.3189,   4.6522,   4.7777,   4.4225,   4.1280,   4.3196,   4.6522,   4.7816,   4.5666
5284258831636637440,   5.6722,   6.0556,   6.2142,   5.7833,   5.4335,   5.6729,   6.0555,   6.2223,   5.9556
1510374147844219904,   1.8142,   2.3225,   2.5597,   1.9249,   1.4277,   1.8162,   2.3218,   2.6093,   2.1845
2633603478379307904,  11.8383,  12.4480,  12.7615,  11.9443,  11.3358,  11.8417,  12.4467,  12.8463,  12.2769
781164326766404736,  11.1776,  11.7602,  12.0409,  11.2680,  10.6479,  11.1808,  11.7575,  12.1171,  11.6068
266077145295627520,  11.7827,  12.4093,  12.7379,  11.8912,  11.2706,  11.7842,  12.4080,  12.8283,  12.2344
3944400490365194368,  13.3519,  13.9659,  14.2893,  13.4729,  12.8848,  13.3537,  13.9643,  14.3758,  13.7979
3348071631670500736,  13.0303,  13.6358,  13.9521,  13.1592,  12.5917,  13.0321,  13.6346,  14.0457,  13.4726
4201781696994073472,  12.2811,  12.5567,  12.7535,  12.3823,  12.1944,  12.2807,  12.5566,  12.8144,  12.4741
1686708050268594944,  12.7512,  13.2912,  13.5762,  12.9097,  12.4688,  12.7527,  13.2900,  13.6614,  13.1573
