DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S750mag,S920mag,Spanmag
1908095850396090880,   4.8689,   5.3531,   5.6078,   4.9677,   4.4777,   4.8732,   5.3527,   5.6862,   5.2216
2135550755683407232,   6.1999,   5.9223,   5.8799,   6.1389,   6.8667,   6.2013,   5.9208,   5.8790,   5.9631
4345775217221821312,   5.4612,   5.1967,   5.1529,   5.4038,   6.0685,   5.4621,   5.1977,   5.1492,   5.2384
1651137131123978112,  12.5067,  12.7572,  12.8746,  12.6120,  12.4588,  12.5091,  12.7558,  12.8668,  12.6907
1633143932573832448,  12.4677,  12.6300,  12.7263,  12.5494,  12.4916,  12.4646,  12.6307,  12.7329,  12.5847
1634280312200704768,  13.4986,  13.5799,  13.6589,  13.5622,  13.6302,  13.4957,  13.5794,  13.6559,  13.5541
1633585107317144960,  11.7790,  11.8911,  11.9692,  11.8541,  11.9169,  11.7792,  11.8938,  11.9706,  11.8525
2158745262705810304,  11.9864,  12.2932,  12.4238,  12.0958,  11.8540,  11.9868,  12.2931,  12.4170,  12.2134
2161093682102883712,  12.2774,  12.5224,  12.6422,  12.3790,  12.2267,  12.2794,  12.5190,  12.6434,  12.4590
2260019315938461952,  12.0482,  12.2051,  12.2956,  12.1286,  12.0747,  12.0499,  12.2034,  12.2992,  12.1612
2160839724980689408,  11.7166,  11.8905,  11.9851,  11.8045,  11.7619,  11.7193,  11.8924,  11.9847,  11.8394
1144974578159253632,  11.9293,  12.5591,  12.8880,  12.0356,  11.4116,  11.9324,  12.5592,  12.9951,  12.3821
4376174445988280576,   9.9198,   9.6923,   9.6538,   9.8677,  10.3103,   9.9198,   9.6917,   9.6535,   9.7354
6324325225803432320,  11.2561,   9.0320,   8.4100,   9.8823,  13.4672,  11.2796,   8.9351,   8.2034,   9.7382
52624073910834176,   9.2011,   9.0187,   9.0072,   9.1677,   9.5443,   9.2042,   9.0172,   9.0214,   9.0506
1267333012397454592,   9.6952,   9.5019,   9.4830,   9.6557,  10.0354,   9.6936,   9.5018,   9.4931,   9.5387
731253779217024640,  10.2397,   9.9844,   9.9500,  10.1801,  10.7129,  10.2308,   9.9862,   9.9481,  10.0311
