DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S750mag,S920mag,Spanmag
6324325225803432320,  11.2289,   9.0485,   8.4357,  10.1009,  13.3877,  11.2499,   8.9611,   8.2295,   9.7493
5853498713190525696,  11.0903,   8.1165,   7.2110,   9.1489,  14.0086,  11.1563,   7.9837,   6.8615,   8.9968
4339417394313320192,  16.7082,  13.1297,  11.9446,  14.0424,  20.0650,  16.7911,  12.9552,  11.4572,  14.1418
2794735086363871360,  20.8778,  17.4790,  15.7109,  17.8030,  24.6420,  20.8132,  17.3559,  14.9102,  18.0180
2997171394834174976,  30.8209,  21.0467,  17.8569,  20.5456,  27.1041,  25.6009,  21.1028,  17.0232,  21.2056
5040300909638155520,   8.8979,   8.4330,   8.3037,   8.9302,   9.7777,   8.8968,   8.4340,   8.2732,   8.5301
4746011090546864640,   5.8788,   6.0616,   6.1684,   6.0940,   5.9070,   5.8782,   6.0624,   6.1726,   6.0103
22745910577134848,   4.2615,   4.6559,   4.8107,   4.4478,   4.0000,   4.2621,   4.6561,   4.8200,   4.5520
5057499161282786432,  16.4593,  16.2581,  16.2429,  16.5814,  16.9737,  16.4535,  16.2569,  16.2175,  16.2949
52624073910834176,   9.1906,   9.0273,   9.0162,   9.2997,   9.5545,   9.1897,   9.0280,   9.0147,   9.0593
4881345510044485120,   9.0993,   8.9032,   8.8822,   9.2034,   9.5285,   9.0990,   8.9043,   8.8752,   8.9414
2988329637719192960,   4.2714,   4.8381,   5.1230,   4.2310,   3.8326,   4.2728,   4.8371,   5.1967,   4.6807
2902205991429301888,   7.8014,   7.5547,   7.5220,   7.9226,   8.4566,   7.8008,   7.5558,   7.5113,   7.5969
3444212584803426048,   8.2981,   8.4975,   8.6067,   8.5135,   8.2998,   8.2982,   8.4978,   8.6133,   8.4449
2915523482424724224,   7.7557,   7.5628,   7.5578,   7.8882,   8.3026,   7.7538,   7.5637,   7.5541,   7.5915
5493730399606077440,   6.6685,   7.0487,   7.2117,   6.7662,   6.4068,   6.6691,   7.0482,   7.2446,   6.9445
1032197606073957888,   9.6722,   9.4914,   9.4780,   9.7780,  10.0699,   9.6717,   9.4918,   9.4777,   9.5261
5709390701922940416,   9.6308,   9.4807,   9.4732,   9.7398,   9.9674,   9.6306,   9.4814,   9.4728,   9.5099
731253779217024640,  10.2235,   9.9916,   9.9564,  10.3138,  10.6926,  10.2229,   9.9924,   9.9508,  10.0377
3905603054348141440,   7.3800,   7.1595,   7.1421,   7.5088,   7.9863,   7.3796,   7.1601,   7.1362,   7.1948
3510294882898890880,   8.3385,   8.1154,   8.0825,   8.4436,   8.8245,   8.3377,   8.1157,   8.0708,   8.1589
1550544530286455680,   8.3084,   8.7130,   8.8707,   8.4860,   8.0436,   8.3091,   8.7131,   8.8880,   8.6049
1267333012397454592,   9.6820,   9.5107,   9.4875,   9.7844,  10.0441,   9.6815,   9.5110,   9.4859,   9.5434
4408086362237875072,  16.7031,  16.3821,  16.3077,  16.7899,  17.3853,  16.7018,  16.3774,  16.2716,  16.4451
1429541695100150656,  16.1740,  15.8997,  15.8662,  16.2890,  16.8579,  16.1706,  15.8996,  15.8465,  15.9512
1425053900952815104,  15.6850,  16.1920,  16.4394,  15.6838,  15.2890,  15.6853,  16.1903,  16.5021,  16.0625
1435896975388228224,   9.6720,  10.0130,  10.1481,   9.8815,   9.4893,   9.6733,  10.0130,  10.1483,   9.9243
1434752727380965760,   6.4675,   6.6942,   6.8044,   6.6822,   6.4225,   6.4681,   6.6945,   6.8062,   6.6356
1335880415564253312,   6.4834,   6.2555,   6.2378,   6.6162,   7.1331,   6.4840,   6.2565,   6.2309,   6.2901
1651137131123978112,  12.5032,  12.7592,  12.8817,  12.7260,  12.4469,  12.5031,  12.7587,  12.8859,  12.6918
4376174445988280576,   9.9096,   9.6970,   9.6640,  10.0010,  10.3153,   9.9095,   9.6975,   9.6565,   9.7405
1633143932573832448,  12.4622,  12.6302,  12.7264,  12.6704,  12.4824,  12.4619,  12.6310,  12.7376,  12.5858
5957698605530828032,   8.6964,   8.5037,   8.4836,   8.7991,   9.0893,   8.6960,   8.5041,   8.4802,   8.5418
1435190745326633984,   6.8314,   6.9988,   7.0941,   7.0410,   6.8510,   6.8306,   6.9993,   7.0998,   6.9522
1633585107317144960,  11.7818,  11.8923,  11.9717,  11.9888,  11.9055,  11.7833,  11.8934,  11.9726,  11.8557
2158745262705810304,  11.9886,  12.3002,  12.4281,  12.2046,  11.8457,  11.9900,  12.3007,  12.4273,  12.2195
2152139190687051008,   6.8339,   7.0870,   7.2140,   7.0544,   6.7777,   6.8341,   7.0874,   7.2222,   7.0200
2260019315938461952,  12.0674,  12.2250,  12.3183,  12.2727,  12.0863,  12.0676,  12.2257,  12.3232,  12.1843
2254144423451326080,   9.4086,   9.6512,   9.7539,   9.6247,   9.3398,   9.4094,   9.6518,   9.7561,   9.5891
6342346358822630400,   8.0600,   7.7900,   7.7554,   8.1809,   8.7695,   8.0604,   7.7903,   7.7448,   7.8352
6477295296414847232,   9.0610,   8.6970,   8.6024,   9.1084,   9.6565,   9.0606,   8.6974,   8.5790,   8.7744
6810896745007524736,   6.7012,   6.4826,   6.4666,   6.8339,   7.3262,   6.7021,   6.4837,   6.4611,   6.5154
1779546757669063552,   7.6100,   7.4379,   7.4430,   7.7515,   8.1314,   7.6093,   7.4386,   7.4418,   7.4628
1908095850396090880,   4.8644,   5.3771,   5.6438,   4.8300,   4.4789,   4.8672,   5.3759,   5.7174,   5.2332
465485776704859520,   9.3498,   9.1563,   9.0667,   9.4398,   9.7996,   9.3516,   9.1468,   9.0400,   9.2126
648899606296121472,  13.8131,  14.4119,  14.7145,  13.7232,  13.3328,  13.8167,  14.4137,  14.8009,  14.2271
4066022591147527552,   5.9205,   6.1476,   6.2694,   5.9561,   5.8124,   5.9224,   6.1455,   6.3051,   6.0803
4146599166888812032,   8.7050,   8.4859,   8.3946,   8.7522,   9.0973,   8.7092,   8.4824,   8.3770,   8.5312
2060824750020658432,   7.0632,   7.0578,   7.0707,   7.1751,   7.3259,   7.0668,   7.0542,   7.0792,   7.0369
6563704506492363392,  10.1698,  10.7481,  11.0502,  10.1560,   9.7313,  10.1712,  10.7469,  11.1169,  10.5819
2216034525806770560,   5.8814,   5.9144,   5.9694,   6.0017,   6.0937,   5.8846,   5.9121,   5.9906,   5.9101
2207291656008154112,   7.6091,   7.2886,   7.1494,   7.6598,   8.1961,   7.6119,   7.2870,   7.1217,   7.3578
2059181250701393280,   9.2490,   9.5078,   9.5789,   9.3805,   9.2711,   9.2494,   9.4975,   9.6070,   9.4055
3131335693444047232,   6.7330,   6.9212,   7.0202,   6.8127,   6.7385,   6.7359,   6.9199,   7.0502,   6.8618
3131938878653431168,   6.8405,   7.1941,   7.4008,   6.8816,   6.6449,   6.8441,   7.1924,   7.4541,   7.0860
5350383460949215232,   7.3437,   7.3935,   7.4244,   7.3963,   7.4158,   7.3459,   7.3911,   7.4411,   7.3761
775029739076581248,   6.9907,   7.5520,   7.8461,   6.9443,   6.5756,   6.9926,   7.5499,   7.9244,   7.3908
5350358683250920704,   8.1330,   8.2682,   8.3829,   8.2035,   8.1571,   8.1352,   8.2671,   8.4151,   8.2113
4146599476126383872,   9.3841,   9.4429,   9.4657,   9.4959,   9.5778,   9.3874,   9.4392,   9.4811,   9.4199
2597188787138939520,  11.3190,  11.8113,  12.0403,  11.3858,  10.9684,  11.3200,  11.8107,  12.0878,  11.6745
5038258841667434752,  11.7243,  12.3632,  12.6870,  11.6348,  11.2309,  11.7270,  12.3638,  12.7855,  12.1754
