DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S750mag,S920mag,Spanmag
6324325225803432320,  11.2561,   9.0320,   8.4100,   9.8823,  13.4672,  11.2796,   8.9351,   8.2034,   9.7382
5853498713190525696,  11.0629,   8.1235,   7.2101,   8.9451,  14.1361,  11.1064,   7.9841,   6.8799,   9.0022
4339417394313320192,  16.7258,  13.1028,  11.9455,  13.8252,  20.0575,  16.8343,  12.9261,  11.4468,  14.1383
2794735086363871360,  21.3529,  17.4275,  15.7118,  17.5702,  19.7808,  21.8124,  17.3363,  14.9074,  18.0276
2997171394834174976,  23.8472,  21.3894,  17.8500,  20.3422,  20.8287,  23.8562,  21.4130,  16.9650,  21.8535
5040300909638155520,   8.9092,   8.4253,   8.2919,   8.7465,   9.7632,   8.9065,   8.4257,   8.2750,   8.5191
4746011090546864640,   5.8852,   6.0471,   6.1469,   5.9588,   5.8957,   5.8933,   6.0461,   6.1521,   6.0005
22745910577134848,   4.2638,   4.6243,   4.7685,   4.3529,   3.9856,   4.2652,   4.6244,   4.7669,   4.5314
5057499161282786432,  16.4764,  16.2685,  16.2431,  16.4468,  17.0054,  16.4858,  16.2635,  16.2314,  16.3000
52624073910834176,   9.2011,   9.0187,   9.0072,   9.1677,   9.5443,   9.2042,   9.0172,   9.0214,   9.0506
4881345510044485120,   9.1079,   8.8904,   8.8682,   9.0632,   9.5181,   9.1094,   8.8901,   8.8779,   8.9309
2988329637719192960,   4.2809,   4.8065,   5.0804,   4.3747,   3.8231,   4.2846,   4.8066,   5.1612,   4.6635
2902205991429301888,   7.8204,   7.5423,   7.5013,   7.7577,   8.4495,   7.8190,   7.5429,   7.5026,   7.5861
3444212584803426048,   8.3059,   8.4856,   8.5941,   8.3876,   8.2983,   8.3091,   8.4856,   8.5995,   8.4378
2915523482424724224,   7.7772,   7.5604,   7.5449,   7.7391,   8.3070,   7.7813,   7.5606,   7.5489,   7.5915
5493730399606077440,   6.6792,   7.0313,   7.1936,   6.7629,   6.3914,   6.6848,   7.0315,   7.2344,   6.9357
1032197606073957888,   9.6806,   9.4861,   9.4708,   9.6459,  10.0622,   9.6784,   9.4851,   9.4722,   9.5204
5709390701922940416,   9.6406,   9.4757,   9.4647,   9.6119,   9.9551,   9.6415,   9.4751,   9.4769,   9.5045
731253779217024640,  10.2397,   9.9844,   9.9500,  10.1801,  10.7129,  10.2308,   9.9862,   9.9481,  10.0311
3905603054348141440,   7.3911,   7.1455,   7.1118,   7.3421,   7.9981,   7.3944,   7.1422,   7.1212,   7.1820
3510294882898890880,   8.3497,   8.1044,   8.0689,   8.2943,   8.8119,   8.3543,   8.1033,   8.0663,   8.1483
1550544530286455680,   8.3173,   8.7048,   8.8604,   8.4158,   8.0370,   8.3204,   8.7064,   8.8782,   8.6030
1267333012397454592,   9.6952,   9.5019,   9.4830,   9.6557,  10.0354,   9.6936,   9.5018,   9.4931,   9.5387
4408086362237875072,  16.7125,  16.3824,  16.3182,  16.6412,  17.4552,  16.7213,  16.3884,  16.2859,  16.4463
1429541695100150656,  16.2025,  15.9130,  15.8727,  16.1392,  16.8967,  16.1973,  15.9081,  15.8314,  15.9575
1425053900952815104,  15.6957,  16.2018,  16.4694,  15.8123,  15.3129,  15.7066,  16.2095,  16.4941,  16.0707
