DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S750mag,S920mag,Spanmag
266077145295627520,  11.7891,  12.4091,  12.7435,  11.8969,  11.2764,  11.7906,  12.4097,  12.8339,  12.2370
3348071631670500736,  13.0315,  13.6341,  13.9497,  13.1612,  12.5959,  13.0333,  13.6327,  14.0490,  13.4723
3944400490365194368,  13.3560,  13.9678,  14.2848,  13.4754,  12.8851,  13.3577,  13.9686,  14.3787,  13.8003
3251244858154433536,  14.0546,  14.6629,  15.0174,  14.1842,  13.6048,  14.0562,  14.6643,  15.0934,  14.5062
3304090857318319232,  13.8647,  14.4049,  14.6986,  14.0237,  13.5779,  13.8657,  14.4045,  14.7716,  14.2726
5639391810273308416,  11.8307,  12.0098,  12.1183,  11.9341,  11.9138,  11.8311,  12.0063,  12.1860,  11.9665
781164326766404736,  11.1784,  11.7600,  12.0392,  11.2736,  10.6614,  11.1803,  11.7592,  12.1226,  11.6083
5332606522595645952,  11.4657,  11.5430,  11.6502,  11.5242,  11.5797,  11.4700,  11.5430,  11.7066,  11.5105
3959631234670040704,  10.5161,  11.1159,  11.4292,  10.6241,  10.0154,  10.5179,  11.1170,  11.5222,  10.9508
1686708050268594944,  12.7473,  13.2897,  13.5541,  12.9053,  12.4592,  12.7481,  13.2898,  13.6446,  13.1561
6749419923164242816,  12.2059,  12.6944,  12.9563,  12.3855,  12.0616,  12.2062,  12.6915,  13.0398,  12.5835
2693940725141960192,  12.7376,  13.2497,  13.5250,  12.9080,  12.5189,  12.7386,  13.2479,  13.6111,  13.1297
2398029465700538880,  12.0270,  11.7209,  11.6543,  11.9563,  12.6465,  12.0264,  11.7203,  11.6572,  11.7869
2405805697263561600,  14.0810,  14.3668,  14.5474,  14.1834,  13.9801,  14.0825,  14.3682,  14.6335,  14.2871
2633603478379307904,  11.8395,  12.4476,  12.7609,  11.9447,  11.3382,  11.8418,  12.4477,  12.8468,  12.2766
3126052883671520896,  10.4339,  10.5739,  10.6447,  10.5179,  10.5022,  10.4336,  10.5725,  10.6576,  10.5339
3935488605023787392,  11.8231,  12.4601,  12.7589,  11.9286,  11.3025,  11.8258,  12.4612,  12.8169,  12.2774
3657546118655166080,  10.2408,  10.7362,  10.9921,  10.3528,   9.8735,  10.2416,  10.7344,  11.0549,  10.5979
4416639085227405952,   9.0038,   8.9503,   8.9810,   9.0320,   9.3099,   9.0025,   8.9503,   8.9916,   8.9564
6210089815971933056,  11.7588,  11.5246,  11.5030,  11.7151,  12.1941,  11.7582,  11.5241,  11.5210,  11.5775
