DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S750mag,S920mag,Spanmag
1686708050268594944,  12.7492,  13.2894,  13.5730,  12.8803,  12.4844,  12.7527,  13.2869,  13.6516,  13.1559
2398029465700538880,  12.0369,  11.7264,  11.6634,  12.0415,  12.6659,  12.0291,  11.7286,  11.6593,  11.7820
2405805697263561600,  14.0881,  14.3695,  14.5625,  14.1722,  13.9922,  14.0907,  14.3678,  14.6453,  14.2841
3126052883671520896,  10.4411,  10.5750,  10.6603,  10.5418,  10.4990,  10.4443,  10.5721,  10.6783,  10.5339
5757389920689415040,  11.8867,  11.5704,  11.5077,  11.8830,  12.4701,  11.8887,  11.5718,  11.5022,  11.6308
3853478472249151616,  12.4235,  12.0883,  12.0140,  12.4165,  13.0581,  12.4186,  12.0891,  12.0052,  12.1534
3817965105665685504,  11.3263,  10.9025,  10.8019,  11.2854,  12.0825,  11.3250,  10.9020,  10.7828,  10.9855
4328293291578459392,  13.4104,  14.0085,  14.3239,  13.4700,  13.0160,  13.4115,  14.0049,  14.4326,  13.8560
1871118140493076224,  12.9526,  13.4369,  13.6927,  13.1634,  12.9043,  12.9592,  13.4347,  13.7888,  13.3384
4994877094997259264,  12.9266,  13.0204,  13.1254,  13.0297,  13.0683,  12.9316,  13.0212,  13.1665,  12.9974
5242316444456199808,  13.4726,  13.9525,  14.2027,  13.6682,  13.3712,  13.4798,  13.9503,  14.2707,  13.8484
5860131207828395648,  13.9787,  13.9837,  14.0455,  14.0609,  14.1878,  13.9804,  13.9825,  14.0716,  13.9764
5923906524348891904,  13.4525,  13.9449,  14.2117,  13.6533,  13.3541,  13.4653,  13.9411,  14.2970,  13.8396
2045444369069839744,  13.5571,  14.1045,  14.3872,  13.6854,  13.2806,  13.5627,  14.1023,  14.4672,  13.9704
1923682286712356992,  13.8345,  14.3375,  14.5927,  14.0077,  13.6702,  13.8439,  14.3384,  14.6811,  14.2239
4922382445088509312,  14.1927,  14.7165,  14.9886,  14.3407,  13.9584,  14.1969,  14.7165,  15.0716,  14.5932
519815360648870144,  14.4380,  15.0292,  15.3350,  14.4838,  14.0203,  14.4463,  15.0236,  15.4717,  14.8737
1572889389701360384,  14.1228,  14.7445,  15.0783,  14.1306,  13.6405,  14.1297,  14.7372,  15.1566,  14.5772
6070021243006871040,  14.3789,  14.9046,  15.1829,  14.5273,  14.1356,  14.3930,  14.8980,  15.2730,  14.7804
1371872413302877568,  14.7966,  15.3233,  15.5955,  14.8965,  14.4977,  14.8025,  15.3168,  15.6649,  15.1958
1326398777041821568,  14.5888,  14.8451,  15.0043,  14.7552,  14.6558,  14.5918,  14.8421,  15.0665,  14.7903
6462911897617050240,  14.2563,  14.4736,  14.6106,  14.4088,  14.3455,  14.2550,  14.4728,  14.6750,  14.4271
2257815757199848960,  10.7431,  10.5288,  10.5221,  10.7896,  11.2789,  10.7393,  10.5297,  10.5273,  10.5579
2541942588451597440,  15.0376,  15.1523,  15.1919,  15.1607,  15.0617,  15.0292,  15.1531,  15.1987,  15.1195
1564096767011977728,  15.0595,  15.0829,  15.1460,  15.1702,  15.2315,  15.0596,  15.0822,  15.1402,  15.0716
2560771312759450496,  10.8363,   9.1398,   8.6993,  10.0270,  12.9442,  10.8265,   9.0938,   8.5708,   9.6502
1472718211053416320,  10.5256,   8.9940,   8.6140,   9.8441,  12.5914,  10.5156,   8.9582,   8.5038,   9.4373
1428427236986209024,  10.0171,   8.4104,   7.9696,   9.2657,  12.3072,  10.0315,   8.3781,   7.8676,   8.8692
4659680529922228096,  10.3572,  10.3019,  10.3466,  10.4467,  10.6517,  10.3575,  10.3022,  10.3599,  10.2983
3348071528591318272,  13.6761,  13.3416,  13.2627,  13.6867,  14.4187,  13.6746,  13.3414,  13.2407,  13.3969
5020116556211470848,  14.0132,  12.0701,  11.5377,  13.0063,  16.2894,  14.0228,  12.0049,  11.3765,  12.6837
266077145295627520,  11.7832,  12.4071,  12.7305,  11.7701,  11.2814,  11.7864,  12.4064,  12.8380,  12.2340
3348071631670500736,  13.0257,  13.6297,  13.9469,  13.0702,  12.6046,  13.0319,  13.6312,  14.0449,  13.4717
3944400490365194368,  13.3522,  13.9615,  14.2840,  13.3728,  12.8944,  13.3528,  13.9573,  14.3866,  13.7998
3251244858154433536,  14.0540,  14.6632,  14.9729,  14.0811,  13.6219,  14.0435,  14.6606,  15.0916,  14.5062
3304090857318319232,  13.8581,  14.3990,  14.6992,  13.9892,  13.5955,  13.8620,  14.4035,  14.7955,  14.2700
5639391810273308416,  11.8208,  11.9914,  12.1260,  11.9570,  11.9182,  11.8240,  11.9907,  12.1842,  11.9535
